"AC No.","AC Name","Winning Party","Winning Candidate","Winner Votes","Runner Up Party","Runner Up Candidate","Runner Up Votes","Voting Turnout %","Total Voters","Winning Margin","District Name"
"1","Nippani","BJP","SHASHIKALA JOLLE","87,006","INC","KAKASO PANDURANG PATIL","78,500","81.19%","211,827","8,506","BELAGAVI"
"2","Chikkodi-Sadalga","INC","GANESH HUKKERI","91,467","BJP","ANNASAHEB SHANKAR JOLLE","80,898","84.78%","210,480","10,569","BELAGAVI"
"3","Athani","INC","MAHESH IRANAGOUDA KUMATHALLI","82,094","BJP","LAXMAN SANGAPPA SAVADI","79,763","80.67%","213,935","2,331","BELAGAVI"
"4","Kagwad","INC","BALASAHEB PATIL","83,060","BJP","BHARAMAGOUDA ALAGOUDA KAGE","50,118","79.98%","181,486","32,942","BELAGAVI"
"5","Kudachi","BJP","P RAJIV","67,781","INC","AMIT SHAMA GHATAGE","52,773","75.86%","180,233","15,008","BELAGAVI"
"6","Raybag","BJP","AIHOLE DURYODHAN MAHALINGAPPA","67,502","INC","PRADEEPKUMAR RAMU MALAGE","50,954","76.80%","195,179","16,548","BELAGAVI"
"7","Hukkeri","BJP","UMESH KATTI","83,588","INC","APPAYYAGOUDA BASAGOUDA PATIL","68,203","81.15%","193,756","15,385","BELAGAVI"
"8","Arabhavi","BJP","BALACHANDRA LAXMANRAO","96,144","JDS","BHIMAPPA GUNDAPPA GADAD","48,816","76.29%","231,177","47,328","BELAGAVI"
"9","Gokak","INC","JARKIHOLI RAMESH LAXMANRAO","90,249","BJP","ASHOK NINGAYYASWAMI PUJARI","75,969","71.79%","241,197","14,280","BELAGAVI"
"10","Yemkanamardi","INC","SATISH. L. JARKIHOLI","73,512","BJP","ASTAGI MARUTI MALLAPPA","70,662","79.79%","186,859","2,850","BELAGAVI"
"11","Belgaum Uttar","BJP","ANIL S BENAKE","79,060","INC","FAIROZ NURUDDIN SAITH","61,793","63.18%","234,887","17,267","BELAGAVI"
"12","Belgaum Dakshin","BJP","ABHAY PATIL","84,498","INC","M D LAKSHMINARAYAN (ANNAYYA)","25,806","62.50%","234,509","58,692","BELAGAVI"
"13","Belgaum Rural","INC","LAKSHMI HEBBALKAR","102,040","BJP","SANJAY B PATIL","50,316","77.47%","238,753","51,724","BELAGAVI"
"14","Khanapur","INC","ANJALI LIMBALKAR","36,649","BJP","VITHAL HALAGEKAR","31,516","74.86%","205,959","5,133","BELAGAVI"
"15","Kittur","BJP","DODDAGOUDAR MAHANTESH BASAVANTARAY","73,155","INC","INAMDAR DANAPPAGOUDA BASANAGOUDA","40,293","78.82%","187,722","32,862","BELAGAVI"
"16","Bailahongal","INC","KOUJALAGI MAHANTESH SHIVANAND","47,040","IND","JAGDISH. CHANNAPPA METGUD","41,918","77.92%","184,116","5,122","BELAGAVI"
"17","Saundatti Yellamma","BJP","ANAND VISHWANATH CHANDRASHEKHAR MAMANI","62,480","IND","ANAND CHOPRA","56,189","79.96%","191,347","6,291","BELAGAVI"
"18","Ramdurg","BJP","MAHADEVAPPA SHIVALINGAPPA YADAWAD","68,349","INC","ASHOK MAHADEVAPPA PATTAN","65,474","75.19%","200,163","2,875","BELAGAVI"
"19","Mudhol","BJP","GOVIND KARJOLA","76,431","INC","BANDIWADDAR SATISH CHINNAPPA","60,949","75.17%","196,094","15,482","BAGALKOT"
"20","Terdal","BJP","SIDDU SAVADI","87,213","INC","UMASHREE","66,324","78.43%","220,340","20,889","BAGALKOT"
"21","Jamkhandi","INC","SIDDU NYAMAGOWDA","49,245","BJP","KULKARNI SHRIKANT SUBRAO","46,450","74.98%","203,681","2,795","BAGALKOT"
